
Subject,Module,Subtopic,DotPoint,Stage,SourceURL,SourceVersionDate,Topic
Mathematics Advanced,Functions,Working with Functions,"understand the formal definition of a function as a set of ordered pairs (𝑥, 𝑦) of real numbers",,Maths Advanced Syllabus.pdf,2019,Functions
Mathematics Advanced,Functions,Working with Functions,"understand and use interval notation as a way of representing domain and range, eg [4, ∞)",,Maths Advanced Syllabus.pdf,2019,Functions
Mathematics Advanced,Functions,Working with Functions,"know what is meant by one-to-one, one-to-many, many-to-one and many-to-many",,Maths Advanced Syllabus.pdf,2019,Functions
Mathematics Advanced,Functions,Working with Functions,use the vertical line test to identify a function,,Maths Advanced Syllabus.pdf,2019,Functions
Mathematics Advanced,Functions,Working with Functions,determine if a function is one-to-one (ACMSM094),,Maths Advanced Syllabus.pdf,2019,Functions
Mathematics Advanced,Functions,Working with Functions,identify the domain and range of a composite function,,Maths Advanced Syllabus.pdf,2019,Functions
Mathematics Advanced,Functions,Working with Functions,recognise that a direct variation relationship produces a straight-line graph,,Maths Advanced Syllabus.pdf,2019,Functions
Mathematics Advanced,Functions,Working with Functions,explain the geometrical significance of 𝑚 and 𝑐 in the equation 𝑓(𝑥) = 𝑚𝑥 + 𝑐,,Maths Advanced Syllabus.pdf,2019,Functions
Mathematics Advanced,Functions,Working with Functions,"derive the equation of a straight line passing through a fixed point (𝑥1 , 𝑦1 ) and having a given",,Maths Advanced Syllabus.pdf,2019,Functions
Mathematics Advanced,Functions,Working with Functions,"derive the equation of a straight line passing through two points (𝑥1 , 𝑦1 ) and (𝑥2 , 𝑦2 ) by first",,Maths Advanced Syllabus.pdf,2019,Functions
Mathematics Advanced,Functions,Working with Functions,,,Maths Advanced Syllabus.pdf,2019,Functions
Mathematics Advanced,Functions,Working with Functions,"find the equations of straight lines, including parallel and perpendicular lines, given sufficient",,Maths Advanced Syllabus.pdf,2019,Functions
Mathematics Advanced,Functions,Working with Functions,"recognise features of the graph of a quadratic, including its parabolic nature, turning point,",,Maths Advanced Syllabus.pdf,2019,Functions
Mathematics Advanced,Functions,Working with Functions,"find the vertex and intercepts of a quadratic graph by either factorising, completing the square",,Maths Advanced Syllabus.pdf,2019,Functions
Mathematics Advanced,Functions,Working with Functions,understand the role of the discriminant in relation to the position of the graph,,Maths Advanced Syllabus.pdf,2019,Functions
Mathematics Advanced,Functions,Working with Functions,find the equation of a quadratic given sufficient information (ACMMM009),,Maths Advanced Syllabus.pdf,2019,Functions
Mathematics Advanced,Functions,Working with Functions,understand that solving 𝑓(𝑥) = 𝑘 corresponds to finding the values of 𝑥 for which the graph,,Maths Advanced Syllabus.pdf,2019,Functions
Mathematics Advanced,Functions,Working with Functions,recognise the shape and features of the graph of 𝑦 = |𝑎𝑥 + 𝑏| and hence sketch the graph,,Maths Advanced Syllabus.pdf,2019,Functions
Mathematics Advanced,Functions,Working with Functions,"derive the equation of a circle, centre the origin, by considering Pythagoras’ theorem and",,Maths Advanced Syllabus.pdf,2019,Functions
Mathematics Advanced,Functions,Working with Functions,transform equations of the form 𝑥 2 + 𝑦 2 + 𝑎𝑥 + 𝑏𝑦 + 𝑐 = 0 into the form,,Maths Advanced Syllabus.pdf,2019,Functions
Mathematics Advanced,Functions,Working with Functions,sketch circles given their equations and find the equation of a circle from its graph,,Maths Advanced Syllabus.pdf,2019,Functions
Mathematics Advanced,Functions,Working with Functions,,,Maths Advanced Syllabus.pdf,2019,Functions
Mathematics Advanced,Trigonometric Functions,Trigonometry and Measure of Angles,use technology and/or geometric construction to investigate the ambiguous case of the sine,,Maths Advanced Syllabus.pdf,2019,Trigonometric Functions
Mathematics Advanced,Trigonometric Functions,Trigonometry and Measure of Angles,interpret information about a two or three-dimensional context given in diagrammatic or,,Maths Advanced Syllabus.pdf,2019,Trigonometric Functions
Mathematics Advanced,Trigonometric Functions,Trigonometry and Measure of Angles,sketch the trigonometric functions in degrees for 0° ≤ 𝑥 ≤ 360°,,Maths Advanced Syllabus.pdf,2019,Trigonometric Functions
Mathematics Advanced,Trigonometric Functions,Trigonometry and Measure of Angles,"convert between the two measures, using the fact that 360° = 2𝜋 radians",,Maths Advanced Syllabus.pdf,2019,Trigonometric Functions
Mathematics Advanced,Trigonometric Functions,Trigonometry and Measure of Angles,"recognise and use the exact values of sin 𝜃, cos 𝜃 and tan 𝜃 in both degrees and radians for",,Maths Advanced Syllabus.pdf,2019,Trigonometric Functions
Mathematics Advanced,Trigonometric Functions,Trigonometric Functions and Identities,,,Maths Advanced Syllabus.pdf,2019,Trigonometric Functions
Mathematics Advanced,Trigonometric Functions,Trigonometric Functions and Identities,,,Maths Advanced Syllabus.pdf,2019,Trigonometric Functions
Mathematics Advanced,Trigonometric Functions,Trigonometric Functions and Identities,,,Maths Advanced Syllabus.pdf,2019,Trigonometric Functions
Mathematics Advanced,Trigonometric Functions,Trigonometric Functions and Identities,know the difference between an equation and an identity,,Maths Advanced Syllabus.pdf,2019,Trigonometric Functions
Mathematics Advanced,Calculus,Introduction to Differentiation,sketch graphs of functions that are continuous and compare them with graphs of functions,,Maths Advanced Syllabus.pdf,2019,Calculus
Mathematics Advanced,Calculus,Introduction to Differentiation,"describe continuity informally, and identify continuous functions from their graphs",,Maths Advanced Syllabus.pdf,2019,Calculus
Mathematics Advanced,Calculus,Introduction to Differentiation,"establish that 𝑓 ′ (𝑥) = 0 at a stationary point, 𝑓 ′ (𝑥) > 0 when the function is increasing and",,Maths Advanced Syllabus.pdf,2019,Calculus
Mathematics Advanced,Calculus,Introduction to Differentiation,identify families of curves with the same derivative function (ACMMM121),,Maths Advanced Syllabus.pdf,2019,Calculus
Mathematics Advanced,Calculus,Introduction to Differentiation,use technology to plot functions and their gradient functions,,Maths Advanced Syllabus.pdf,2019,Calculus
Mathematics Advanced,Calculus,Introduction to Differentiation,examine examples of variable rates of change of non-linear functions (ACMMM087),,Maths Advanced Syllabus.pdf,2019,Calculus
Mathematics Advanced,Calculus,Introduction to Differentiation,"apply the product rule: If ℎ(𝑥) = 𝑓(𝑥) 𝑔(𝑥) then ℎ′(𝑥) = 𝑓(𝑥) 𝑔′(𝑥) + 𝑓′(𝑥) 𝑔(𝑥), or if 𝑢 and 𝑣",,Maths Advanced Syllabus.pdf,2019,Calculus
Mathematics Advanced,Calculus,Introduction to Differentiation,apply the quotient rule: If ℎ(𝑥) =,,Maths Advanced Syllabus.pdf,2019,Calculus
Mathematics Advanced,Calculus,Introduction to Differentiation,"apply the chain rule: If ℎ(𝑥) = 𝑓(𝑔(𝑥)) then ℎ′(𝑥) = 𝑓′(𝑔(𝑥)) 𝑔′(𝑥), or if 𝑦 is a function of 𝑢 and",,Maths Advanced Syllabus.pdf,2019,Calculus
Mathematics Advanced,Exponential and Logarithmic Functions,Logarithms and Exponentials,"understand and use the fact that log 𝑎 𝑎 𝑥 = 𝑥 for all real 𝑥, and 𝑎log𝑎 𝑥 = 𝑥 for all 𝑥 > 0",,Maths Advanced Syllabus.pdf,2019,Exponential and Logarithmic Functions
Mathematics Advanced,Exponential and Logarithmic Functions,Logarithms and Exponentials,,,Maths Advanced Syllabus.pdf,2019,Exponential and Logarithmic Functions
Mathematics Advanced,Exponential and Logarithmic Functions,Logarithms and Exponentials,define the natural logarithm ln 𝑥 = log 𝑒 𝑥 from the exponential function 𝑓(𝑥) = 𝑒 𝑥,,Maths Advanced Syllabus.pdf,2019,Exponential and Logarithmic Functions
Mathematics Advanced,Exponential and Logarithmic Functions,Logarithms and Exponentials,recognise and use the inverse relationship of the functions 𝑦 = 𝑒 𝑥 and 𝑦 = ln 𝑥 (ACMMM160),,Maths Advanced Syllabus.pdf,2019,Exponential and Logarithmic Functions
Mathematics Advanced,Exponential and Logarithmic Functions,Logarithms and Exponentials,"use the natural logarithm and the relationships 𝑒 ln 𝑥 = 𝑥 where 𝑥 > 0, and ln(𝑒 𝑥 ) = 𝑥 for all",,Maths Advanced Syllabus.pdf,2019,Exponential and Logarithmic Functions
Mathematics Advanced,Exponential and Logarithmic Functions,Logarithms and Exponentials,use the logarithmic laws to simplify and evaluate natural logarithmic expressions and solve,,Maths Advanced Syllabus.pdf,2019,Exponential and Logarithmic Functions
Mathematics Advanced,Exponential and Logarithmic Functions,Logarithms and Exponentials,interpret the meaning of the intercepts of an exponential graph and explain the circumstances,,Maths Advanced Syllabus.pdf,2019,Exponential and Logarithmic Functions
Mathematics Advanced,Exponential and Logarithmic Functions,Logarithms and Exponentials,recognise that the graphs of 𝑦 = 𝑎 𝑥 and 𝑦 = log 𝑎 𝑥 are reflections in the line 𝑦 = 𝑥,,Maths Advanced Syllabus.pdf,2019,Exponential and Logarithmic Functions
Mathematics Advanced,Statistical Analysis,Probability and Discrete Probability Distributions,identify factors that could complicate the simulation of real-world events (ACMEM153),,Maths Advanced Syllabus.pdf,2019,Statistical Analysis
Mathematics Advanced,Statistical Analysis,Probability and Discrete Probability Distributions,use relative frequencies obtained from data as point estimates of probabilities (ACMMM055),,Maths Advanced Syllabus.pdf,2019,Statistical Analysis
Mathematics Advanced,Statistical Analysis,Probability and Discrete Probability Distributions,use everyday occurrences to illustrate set descriptions and representations of events and set,,Maths Advanced Syllabus.pdf,2019,Statistical Analysis
Mathematics Advanced,Statistical Analysis,Probability and Discrete Probability Distributions,know that a random variable describes some aspect in a population from which samples can,,Maths Advanced Syllabus.pdf,2019,Statistical Analysis
Mathematics Advanced,Statistical Analysis,Probability and Discrete Probability Distributions,know the difference between a discrete random variable and a continuous random variable,,Maths Advanced Syllabus.pdf,2019,Statistical Analysis
Mathematics Advanced,Statistical Analysis,Probability and Discrete Probability Distributions,use relative frequencies obtained from data to obtain point estimates of probabilities,,Maths Advanced Syllabus.pdf,2019,Statistical Analysis
Mathematics Advanced,Statistical Analysis,Probability and Discrete Probability Distributions,recognise uniform discrete random variables and use them to model random phenomena with,,Maths Advanced Syllabus.pdf,2019,Statistical Analysis
Mathematics Advanced,Statistical Analysis,Probability and Discrete Probability Distributions,"examine simple examples of non-uniform discrete random variables, and recognise that for",,Maths Advanced Syllabus.pdf,2019,Statistical Analysis
Mathematics Advanced,Statistical Analysis,Probability and Discrete Probability Distributions,"recognise the mean or expected value, 𝐸(𝑋) = 𝜇, of a discrete random variable 𝑋 as a",,Maths Advanced Syllabus.pdf,2019,Statistical Analysis
Mathematics Advanced,Statistical Analysis,Probability and Discrete Probability Distributions,"recognise the variance, Var(𝑋), and standard deviation (𝜎) of a discrete random variable as",,Maths Advanced Syllabus.pdf,2019,Statistical Analysis
Mathematics Advanced,Statistical Analysis,Probability and Discrete Probability Distributions,use Var(𝑋) = 𝐸((𝑋 − 𝜇)2 ) = 𝐸(𝑋 2 ) − 𝜇 2 for a random variable and Var(𝑥) = 𝜎 2 for a dataset,,Maths Advanced Syllabus.pdf,2019,Statistical Analysis
Mathematics Advanced,Functions,Graphing Techniques,examine translations and the graphs of 𝑦 = 𝑓(𝑥) + 𝑐 and 𝑦 = 𝑓(𝑥 + 𝑏) using technology,,Maths Advanced Syllabus.pdf,2019,Functions
Mathematics Advanced,Functions,Graphing Techniques,examine dilations and the graphs of 𝑦 = 𝑘𝑓(𝑥) and 𝑦 = 𝑓(𝑎𝑥) using technology,,Maths Advanced Syllabus.pdf,2019,Functions
Mathematics Advanced,Functions,Graphing Techniques,recognise that the order in which transformations are applied is important in the construction,,Maths Advanced Syllabus.pdf,2019,Functions
Mathematics Advanced,Functions,Graphing Techniques,"select and use an appropriate method to graph a given function, including finding intercepts,",,Maths Advanced Syllabus.pdf,2019,Functions
Mathematics Advanced,Functions,Graphing Techniques,determine asymptotes and discontinuities where appropriate (vertical and horizontal,,Maths Advanced Syllabus.pdf,2019,Functions
Mathematics Advanced,Functions,Graphing Techniques,determine the number of solutions of an equation by considering appropriate graphs,,Maths Advanced Syllabus.pdf,2019,Functions
Mathematics Advanced,Functions,Graphing Techniques,solve linear and quadratic inequalities by sketching appropriate graphs,,Maths Advanced Syllabus.pdf,2019,Functions
Mathematics Advanced,Trigonometric Functions,Trigonometric Functions and Graphs,use technology or otherwise to examine the effect on the graphs of changing the amplitude,,Maths Advanced Syllabus.pdf,2019,Trigonometric Functions
Mathematics Advanced,Trigonometric Functions,Trigonometric Functions and Graphs,"use 𝑘, 𝑎, 𝑏, 𝑐 to describe transformational shifts and sketch graphs",,Maths Advanced Syllabus.pdf,2019,Trigonometric Functions
Mathematics Advanced,Calculus,Differential Calculus,,,Maths Advanced Syllabus.pdf,2019,Calculus
Mathematics Advanced,Calculus,Differential Calculus,use the composite function rule (chain rule) to establish that,,Maths Advanced Syllabus.pdf,2019,Calculus
Mathematics Advanced,Calculus,Differential Calculus,use the composite function rule (chain rule) to establish that,,Maths Advanced Syllabus.pdf,2019,Calculus
Mathematics Advanced,Calculus,Differential Calculus,use the logarithmic laws to simplify an expression before differentiating,,Maths Advanced Syllabus.pdf,2019,Calculus
Mathematics Advanced,Calculus,Differential Calculus,"use the composite function rule (chain rule) to establish and use the derivatives of sin(𝑓(𝑥)),",,Maths Advanced Syllabus.pdf,2019,Calculus
Mathematics Advanced,Calculus,Applications of Differentiation,"deduce from the sign of the first derivative whether a function is increasing, decreasing or",,Maths Advanced Syllabus.pdf,2019,Calculus
Mathematics Advanced,Calculus,Applications of Differentiation,"use the first derivative to find intervals over which a function is increasing or decreasing, and",,Maths Advanced Syllabus.pdf,2019,Calculus
Mathematics Advanced,Calculus,Applications of Differentiation,"use the first derivative to investigate a stationary point of a function over a given domain,",,Maths Advanced Syllabus.pdf,2019,Calculus
Mathematics Advanced,Calculus,Applications of Differentiation,determine the greatest or least value of a function over a given domain (if the domain is not,,Maths Advanced Syllabus.pdf,2019,Calculus
Mathematics Advanced,Calculus,Applications of Differentiation,understand the concepts of concavity and points of inflection and their relationship with the,,Maths Advanced Syllabus.pdf,2019,Calculus
Mathematics Advanced,Calculus,Applications of Differentiation,use the second derivative to determine concavity and the nature of stationary points,,Maths Advanced Syllabus.pdf,2019,Calculus
Mathematics Advanced,Calculus,Applications of Differentiation,understand that when the second derivative is equal to 0 this does not necessarily represent a,,Maths Advanced Syllabus.pdf,2019,Calculus
Mathematics Advanced,Calculus,Applications of Differentiation,define variables and construct functions to represent the relationships between variables,,Maths Advanced Syllabus.pdf,2019,Calculus
Mathematics Advanced,Calculus,Applications of Differentiation,"use calculus to establish the location of local and global maxima and minima, including",,Maths Advanced Syllabus.pdf,2019,Calculus
Mathematics Advanced,Calculus,Applications of Differentiation,evaluate solutions and their reasonableness given the constraints of the domain and formulate,,Maths Advanced Syllabus.pdf,2019,Calculus
Mathematics Advanced,Calculus,Integral Calculus,examine families of anti-derivatives of a given function graphically,,Maths Advanced Syllabus.pdf,2019,Calculus
Mathematics Advanced,Calculus,Integral Calculus,"consider functions which cannot be integrated in the scope of this syllabus, for example",,Maths Advanced Syllabus.pdf,2019,Calculus
Mathematics Advanced,Calculus,Integral Calculus,use geometric arguments (rather than substitution into a given formula) to approximate a,,Maths Advanced Syllabus.pdf,2019,Calculus
